word,freq
  sinc,9
  sometim,9
  spark,9
  sped,9
  starlik,9
  station,9
  surround,9
  think,9
  tinley,9
  tonight,9
  wide,9
  also,8
  bodi,8
  brite,8
  chicago,8
  closer,8
  contact,8
  cours,8
  crash,8
  dad,8
  denver,8
  digit,8
  dome,8
  door,8
  either,8
  faint,8
  fieri,8
  fish,8
  flat,8
  forest,8
  greenish,8
  hr,8
  hwi,8
  join,8
  mom,8
  motionless,8
  multicolor,8
  neighbor,8
  neighborhood,8
  noth,8
  nv,8
  perform,8
  pink,8
  random,8
  redish,8
  return,8
  semi,8
  seven,8
  soundless,8
  spin,8
  squar,8
  tn,8
  total,8
  transluc,8
  unexplain,8
  upward,8
  vapor,8
  visit,8
  week,8
  wi,8
  zip,8
  accross,7
  advertis,7
  appar,7
  backyard,7
  camp,7
  carolina,7
  cigarett,7
  constant,7
  ct,7
  el,7
  emerg,7
  forth,7
  freeway,7
  giant,7
  goe,7
  golden,7
  hang,7
  hazi,7
  headlight,7
  hospit,7
  intern,7
  interst,7
  lead,7
  mass,7
  midnight,7
  nm,7
  occur,7
  orangish,7
  parallel,7
  part,7
  plea,7
  porch,7
  power,7
  purpl,7
  radio,7
  rememb,7
  said,7
  similar,7
  sister,7
  slower,7
  suburban,7
  talk,7
  thru,7
  track,7
  transpar,7
  truck,7
  unison,7
  vehicl,7
  world,7
  albani,6
  arc,6
  arkansa,6
  attent,6
  binocular,6
  blimp,6
  break,6
  burn,6
  captur,6
  cincinnati,6
  clock,6
  cloudless,6
  continu,6
  cylindr,6
  detail,6
  distinct,6
  earth,6
  elong,6
  engin,6
  est,6
  exit,6
  fashion,6
  fe,6
  fix,6
  flare,6
  fleet,6
  forward,6
  girlfriend,6
  hot,6
  houston,6
  hundr,6
  insid,6
  iowa,6
  kansa,6
  lay,6
  le,6
  lost,6
  lower,6
  main,6
  maneuv,6
  may,6
  mi,6
  miss,6
  neon,6
  nevada,6
  news,6
  nh,6
  nj,6
  non,6
  obj,6
  oh,6
  onc,6
  opposit,6
  orbit,6
  origin,6
  passeng,6
  peculiar,6
  pick,6
  pilot,6
  port,6
  post,6
  pull,6
  randomli,6
  rapid,6
  ray,6
  real,6
  remain,6
  room,6
  rose,6
  sat,6
  sc,6
  seemingli,6
  seri,6
  sharp,6
  silveri,6
  spring,6
  store,6
  sudden,6
  sunday,6
  surfac,6
  thin,6
  told,6
  tower,6
  tri,6
  trip,6
  usa,6
  utah,6
  wind,6
  wood,6
  zigzag,6
  actual,5
  adult,5
  aerial,5
  alabama,5
  align,5
  altern,5
  aura,5
  beauti,5
  bed,5
  bedroom,5
  beneath,5
  bird,5
  blvd,5
  bomber,5
  busi,5
  control,5
  curv,5
  dalla,5
  de,5
  desert,5
  diego,5
  disap,5
  dissappear,5
  distant,5
  dont,5
  durat,5
  electr,5
  enough,5
  equal,5
  experi,5
  explan,5
  explod,5
  explos,5
  feel,5
  figur,5
  francisco,5
  gave,5
  gaze,5
  glanc,5
  gulf,5
  hard,5
  hunt,5
  idaho,5
  intermitt,5
  ju,5
  jupit,5
  kept,5
  known,5
  laser,5
  mall,5
  manhattan,5
  manner,5
  mar,5
  massiv,5
  mayb,5
  md,5
  might,5
  mind,5
  mo,5
  mysteri,5
  nation,5
  natur,5
  nightli,5
  nite,5
  normal,5
  numer,5
  offic,5
  oklahoma,5
  perfectli,5
  plasma,5
  polic,5
  rain,5
  read,5
  realiz,5
  region,5
  rout,5
  saturday,5
  seriou,5
  sf,5
  shop,5
  shower,5
  slight,5
  sort,5
  stealth,5
  storm,5
  stun,5
  tape,5
  tell,5
  thursday,5
  tini,5
  traffic,5
  train,5
  trajectori,5
  unbeliev,5
  use,5
  vision,5
  water,5
  wave,5
  westward,5
  wisconsin,5
  yakima,5
  abruptli,4
  activ,4
  afb,4
  al,4
  alway,4
  anyon,4
  aprox,4
  arm,4
  atlanta,4
  bank,4
  barrel,4
  becam,4
  bolt,4
  boston,4
  bounc,4
  bound,4
  boyfriend,4
  bridg,4
  brightest,4
  brooklyn,4
  bu,4
  burst,4
  canyon,4
  celesti,4
  check,4
  church,4
  clearli,4
  climb,4
  cloak,4
  cloudi,4
  colleg,4
  com,4
  constel,4
  creat,4
  debri,4
  decend,4
  deer,4
  defin,4
  delta,4
  diamet,4
  dime,4
  display,4
  downward,4
  dozen,4
  dream,4
  drone,4
  earlier,4
  exhaust,4
  fairfield,4
  fairli,4
  fayettevil,4
  fernando,4
  firework,4
  flouresc,4
  forc,4
  fort,4
  fresno,4
  garag,4
  girl,4
  great,4
  grove,4
  height,4
  hit,4
  ident,4
  incid,4
  independ,4
  individu,4
  initi,4
  instant,4
  instantli,4
  island,4
  jone,4
  jose,4
  ky,4
  law,4
  length,4
  lightn,4
  loui,4
  meet,4
  member,4
  merg,4
  miami,4
  modesto,4
  myrtl,4
  nearbi,4
  nne,4
  nnw,4
  noiseless,4
  noon,4
  nowher,4
  oblong,4
  occasion,4
  oddli,4
  overcast,4
  pace,4
  paul,4
  period,4
  person,4
  pic,4
  plain,4
  pure,4
  put,4
  rear,4
  reno,4
  ride, 4
  ridg,4
  rock,4
  roughli,4
  rt,4
  sacramento,4
  scare,4
  search,4
  section,4
  self,4
  shadow,4
  shake,4
  shortli,4
  simpli,4
  siriu,4
  ski,4
  sleep,4
  smooth,4
  soft,4
  southwestern,4
  sparkl,4
  spotlight,4
  stationeri,4
  step,4
  stori,4
  stream,4
  string,4
  suburb,4
  sure,4
  suspend,4
  taken,4
  telescop,4
  third,4
  thirti,4
  till,4
  tucson,4
  tuesday,4
  twin,4
  underneath,4
  unlik,4
  upon,4
  vari,4
  variou,4
  want,4
  warp,4
  weather,4
  well,4
  whi,4
  worth,4
  wyom,4
  abl,3
  act,3
  age,3
  alreadi,3
  ar,3
  array,3
  arriv,3
  arrowhead,3
  astronom,3
  atlant,3
  baltimor,3
  beacon,3
  began,3
  begin,3
  ...]]printpd.DataFramelistmost_common), columns=['freq'
