84,   changes
84,   dots
84,   january
84,   nov
84,   place
83,   los
82,   change
82,   fell
82,   grey
82,   late
82,   michigan
81,   angeles
81,   daughter
81,   strobe
80,   bluish
80,   end
79,14
79,   co
78,2
78,   christmas
78,   dancing
78,   planet
78,   son
78,   spinning
78,   stayed
77,   canadian
77,   dissapeared
77,   mt
77,   next
76,19
76,   great
76,   horizontal
76,   location
76,   reported
75,   circling
75,   closer
75,   coast
75,   completely
75,   downtown
75,   satellite
75,   seattle
75,   teardrop
74,5
74,8
74,   daytime
74,   formations
74,   lasted
74,   power
74,   vertical
73,21
73,23
73,   anything
73,   base
73,   faint
73,   flashed
73,   ga
73,   gliding
73,   movements
72,   fall
72,   happened
72,   hbccufo
72,   inside
72,   split
72,   york
71,22
71,   diego
71,   family
71,   mexico
71,   motionless
71,   non
71,   passing
71,   similar
71,   slightly
70,   camera
70,   downward
70,   fiery
70,   intense
70,   turning
69,   believe
69,   descending
69,   facing
69,   motion
69,   pictures
69,   rapid
69,   short
69,   square
68,2011
68,   contrail
68,   event
68,   every
68,   interstate
68,   rural
68,   th
67,   cross
67,   cylindrical
67,   dull
67,   flies
67,   mins
67,   missile
67,   sc
67,   seeing
66,6
66,2008
66,   entire
66,   neon
66,   nothing
66,   perfect
66,   rd
66,   spaced
65,   football
65,   freeway
65,   hill
64,17
64,200
64,31
64,   midnight
64,   neighborhood
64,   nj
64,   pass
64,   santa
64,   sized
64,   truck
64,   well
64,   wings
63,   burning
63,   encounter
63,   mph
63,   others
62,   dec
62,   mo
62,   quick
62,   sudden
62,   unexplained
61,2013
61,   chicago
61,   erratic
61,   horizontally
61,   la
61,   las
61,   less
61,   make
61,   man
61,   orangish
61,   porch
61,   position
61,   quiet
61,   streaks
61,   travel
61,   twice
61,   wing
60,4
60,   39ve
60,   beams
60,   dropped
60,   flat
60,   landing
60,   sunset
60,   tn
60,   water
60,   windows
59,   began
59,   broad
59,   crossed
59,   falls
59,   forming
59,   photo
59,   sped
59,   student
59,   thin
58,2007
58,28
58,   bigger
58,   date
58,   erratically
58,   formed
58,   illinois
58,   lite
58,   patterns
58,   wide
57,7
57,44000
57,   georgia
57,   giant
57,   golden
57,   live
57,   lower
57,   luminous
57,   mother
57,   pink
57,   points
57,   route
57,   ten
57,   virginia
56,9
56,   body
56,   disapeared
56,   dusk
56,   massive
56,   missouri
56,   probably
56,   purple
56,   reports
56,   tonight
56,   upward
55,2010
55,   afternoon
55,   flame
55,   forth
55,   lot
55,   room
55,   school
55,   shining
55,   shower
55,   stops
55,   take
55,   vegas
54,   amazing
54,   backyard
54,   eyes
54,   local
54,   nights
54,   vanishes
54,   yards
53,2006
53,300
53,   chased
53,   emitted
53,   incredible
53,   maybe
53,   range
53,   rocket
53,   rt
53,   sparks
52,3
52,75
52,   dropping
52,   eclipse
52,   fort
52,   jupiter
52,   normal
52,   notice
52,   springs
52,   traffic
52,   triangles
52,   vehicle
52,   vertically
51,29
51,60
51,   canada
51,   cone
51,   cover
51,   desert
51,   launch
51,   miami
51,   mysterious
51,   seven
51,   streaked
51,   woods
50,   colorful
50,   crossing
50,   getting
50,   haze
50,   hrs
50,   humming
50,   ontario
50,   parallel
50,   real
49,2009
49,   mi
49,   quite
49,   series
49,   super
49,   taken
48,1000
48,2000
48,24
48,35
48,   clearly
48,   girlfriend
48,   kind
48,   may
48,   obj
48,   trailing
48,   transparent
47,   advertising
47,   chasing
47,   dimmed
47,   door
47,   follow
47,   jan
47,   looks
47,   lunar
47,   multicolored
47,   numerous
47,   phone
47,   photos
47,   show
47,   trails
46,   accross
46,   aprox
46,   binoculars
46,   bound
46,   cigarette
46,   francisco
46,   gulf
46,   hills
46,   landed
46,   lines
46,   perfectly
46,   random
46,   station
46,   string
46,   translucent
45,   ago
45,   attention
45,   commercial
45,   ct
45,   duration
45,   either
45,   jersey
45,   kansas
45,   period
45,   reflective
45,   shoot
45,   shoots
45,   silvery
45,   think
45,   underneath
44,26
44,   brother
44,   course
44,   crescent
44,   darting
44,   engine
44,   fade
44,   flare
44,   iowa
44,   land
44,   nevada
44,   rising
44,   seem
43,2004
43,   44i
43,80
43,   arc
43,   edge
43,   fighter
43,   flaming
43,   hot
43,   houston
43,   news
43,   sets
43,   sharp
43,   things
43,   tucson
42,2005
42,   austin
42,   bed
42,   blueish
42,   carolina
42,   cloudy
42,   est
42,   oklahoma
42,   police
42,   sounds
42,   vapor
42,   wi
41,   bedroom
41,   building
41,   constant
41,   denver
41,   exit
41,   flames
41,   force
41,   hanging
41,   instantly
41,   metalic
41,   mn
41,   redish
41,   said
41,   set
40,   44and
40,   44then
40,   called
40,   dallas
40,   descended
40,   dogs
40,   even
40,   father
40,   length
40,   lighting
40,   parking
40,   sacramento
40,   say
40,   since
40,   sure
40,   third
40,   tinley
40,   told
40,   vanish
40,   vanishing
39,   30pm
39,   39m
39,   brite
39,   couple
39,   drifting
39,   explosion
39,   farm
39,   floated
39,   helicopters
39,   hunting
39,   indiana
39,   kept
39,   pace
39,   pilot
39,   rear
39,   sort
39,   soundless
39,   speeding
39,   starlike
39,   stopping
39,   strobing
39,   telescope
39,   tops
39,   tv
39,   walked
39,   zag
38,8217
38,   became
38,   brightness
38,   distant
38,   except
38,   fades
38,   groups
38,   higher
38,   pale
38,   radio
38,   reappeared
38,   separate
38,   seperate
38,   sides
38,   woke
37,27
37,   balloon
37,   contrails
37,   port
37,   reflecting
37,   ring
37,   rock
37,   rose
37,   sat
37,   site
37,   unison
36,70
36,   alabama
36,   apartment
36,   ascending
36,   blimp
36,   digital
36,   disks
36,   distinct
36,   drive
36,   eight
36,   elongated
36,   extreme
36,   mars
36,   orion
36,   siting
36,   walk
35,12:00:00
35,   alien
35,   ave
35,   cold
35,   corners
35,   days
35,   figure
35,   fog
35,   forest
35,   mass
35,   observing
35,   sparkling
35,   treeline
35,   watch
34,2003
34,   2nd
34,   afb
34,   beautiful
34,   blinked
34,   country
34,   covered
34,   dome
34,   friday
34,   lasting
34,   main
34,   md
34,   part
34,   seemingly
34,   stealth
34,   thru
34,   upwards
33,   44no
