,Author,Title
46,Aretha Franklin,(You Make Me Feel Like) A Natural Woman (1967)
47,Aretha Franklin,Think (1968)
48,Aretha Franklin,I Never Loved a Man (The Way I Love You) (1967)
49,Aretha Franklin,Respect (1967)
0,The Foo Fighters, “Walking After You”
1,Mase feat. Total, “What You Want”
2,Semisonic, “Closing Time”
3,Iggy Pop and Françoise Hardy, “I’ll Be Seeing You”
4,Foxy Brown, “Hot Spot”
5,The Donnas, “Rock & Roll Machine”
6,Spoon, “Metal Detektor”
7,The Spice Girls, “Stop”
8,Korea Girl, “Under the Sun”
9,Willie Nelson, “Darkness on the Face of the Earth”
10,Next, “Too Close”
11,The Drive-By Truckers, “The Living Bubba”
12,Saint Etienne, “Lose That Girl”
13,True Love Always, “Spring Collection”
14,Maxwell, “Everwanting: To Want You to Want”
15,Mono, “Life in Mono”
16,Black Box Recorder, “It’s Only the End of the World”
17,The Rondelles, “Safety in Numbers”
18,Hall & Oates, “Promise Ain’t Enough”
19,Total, “Trippin'”
20,Savage Garden, “Truly Madly Deeply”
21,Sarah McLachlan, “Sweet Surrender”
22,Master P, “Make ‘Em Say Uhh!”
23,Everclear, “I Will Buy You a New Life”
24,Kahimi Karie, “Watashi No Jinsei
25,PJ Harvey, “Is This Desire?”
26,Deborah Cox, “Nobody’s Supposed to Be Here”
27,Quickspace, “Hadid”
28,All Saints, “Never Ever”
29,Liz Phair, “Johnny Feelgood”
30,Third Eye Blind, “Losing a Whole Year”
31,Brandy, “Almost Doesn’t Count”
32,The Gerbils, “Crayon Box”
33,Mogwai, “Small Children in the Background”
34,Backstreet Boys, “Everybody (Backstreet’s Back)”
35,Silkk the Shocker, “It Ain’t My Fault”
36,The Boredoms, “Super Shine”
37,Hanson, “Weird”
38,Julie Ruin, “Radical or Pro-Parental”
39,Buffalo Daughter, “Socks
40,Lord Tariq & Peter Gunz, “Deja Vu (Uptown Baby)”
41,Belle & Sebastian, “This Is Just a Modern Rock Song”
42,Sheryl Crow, “My Favorite Mistake”
